titulo,descripcion,precio,nro_ambientes,nro_banios,area_m2,latitud,longitud,estado,detalles,enlace
"Urubó Business Center piso 5, en la entrada del Urubó, lado del hotel Radisson.","Urubó, Santa Cruz de la Sierra - Oficina en Alquiler",$us. 790,4.0,2.0,75.0,-17.750793,-63.216568,Disponible,"Oficina de de 75m2 con una increíble vista a la ciudad (se ve el río, el puente, el cordón ecológico y todos los edificios de la equipetrol es como una postal). Tiene baño privado y espacio de trabajo como para 8 o 10 personas. La oficina cuenta con 2 parqueos techados. Si necesitas sala de reuniones extra, o sala de capacitaciones cada piso del edificio cuenta con un espacio específico para este fin, sólo tienes que programar con anticipación y listo. Cada piso también cuneta con una batería de baños de hombres y mujeres de lujo incluyendo baño para discapacitados. La recepción del UBC es como si fuera de un hotel 5 estrellas. El lugar es ideal para impresionar a tus clientes y posicionar la marca de tu empresa, tus empleados también se sentirán motivados por el nivel y el prestigio que te ofrece este lugar. Alquiler: 5,500 bs Mas Info: 7oo6o12o Nicolas",https://www.ultracasas.com/inmueble/oficina-en-alquiler-urubo-urubo-business-santa-cruz-de-la-sierra-634870
Av alemana 3er 4to anillo,"Entre 3er y 4to anillo Norte, Santa Cruz de la Sierra - Casa en Venta","$us. 450,800",5.0,4.0,360.0,-17.755962,-63.165638,Disponible,Buscando casa fuera de condominio? Te presento esta linda opción con 5 habitaciones en suite 🤩  A ESTRENAR ZONA NORTE 📌 Av. Alemana entre 3er. y 4to. Anillo 📐Superficie de terreno: 269 m2 📐Superficie construida: 360 m2 💰PRECIO $US. 450.800.- Construcción de 2 plantas. Planta Alta: ✅️ 1 Master Suit con vestidor. ✅️ 3 Suits con roperos empotrados. ✅ 1 Escritorio. ✅ Living familiar. Planta Baja: ✅ 1 Suit con ropero empotrado. ✅ 1 Baño de visitas. ✅️ Living Comedor. ✅️ Cocina integrada con cajonería alta y baja. ✅ Deposito interior debajo de escaleras. ✅️ Jardín interno. ✅️ Patio trasero con lavandería. ✅ Dependencia de empleada. ✅ Churrasquera. ✅️ Portón de Madera Levadizo automático. ✅ Garaje para 2 vehículos ✅️ Luces led en todos los ambientes. ✅ Amoblamiento total en los  baños. ✅️ Conexiones de gas domiciliario. Materiales de primera!! Entrega inmediata!!,https://www.ultracasas.com/inmueble/casa-en-venta-entre-3er-y-4to-anillo-norte-santa-cruz-de-la-sierra-1029037
HAUS EQUIPE DEPARTAMENTO EN ALQUILER,"Equipetrol, Santa Cruz de la Sierra - Departamento en Alquiler","Bs. 3,000",1.0,1.0,37.0,-17.764202,-63.192226,Disponible,"Hermoso departamento en ALQUILER en Condominio HAUS EQUIPE piso 1 departamento 1F  , con una ubicación estratégica ubicado en el Corazon del Barrio Eqquipetrol; calle 8 de Equipetrol a pocos pasos del Canal Isuto. Con una construcción de primer nivel con todos los mejores materiales .y detalles que ningún Condominio tiene.Un Area Social con sala con Domotica ,piscina y Churrasquera.",https://www.ultracasas.com/inmueble/departamento-en-venta-equipetrol-haus-equipe-santa-cruz-de-la-sierra-998694
Doble via la Guardia Edificio Cupesi,"Entre 3er y 4to anillo Oeste, Santa Cruz de la Sierra - Departamento en Alquiler","Bs. 2,500",2.0,3.0,110.0,-17.803869,-63.203732,Disponible,"🟡  𝗗𝗲𝗽𝗮𝗿𝘁𝗮𝗺𝗲𝗻𝘁𝗼 🅴🅽 🅰🅻🆀🆄🅸🅻🅴🆁 ▫️ 𝗕𝘀. 𝟮,𝟱𝟬𝟬 (ᴄ/ᴇxᴘ.) ▫️ ▪️Sup.: 110 m² ▪️Piso.: ➖️ 📍Cᴏɴᴅᴏᴍɪɴɪᴏ Cᴜᴘᴇsɪ  - ᴢᴏɴᴀ ᴏᴇsᴛᴇ Dᴏʙʟᴇ  ᴠɪᴀ ʟᴀ Gᴜᴀʀᴅɪᴀ (ᴇɴᴛʀᴇ 3ᴇʀ  ʏ 4ᴛᴏ ᴀɴɪʟʟᴏ ) ▫️110m2 construidos Consta de: ▫️2 dormitorios con    roperos empotrados, 1 en suite con baño privado. ▫️Baño de visita. ▫️Sala comedor ▫️Cocina con muebles alto y bajo ▫️Área de lavandería. ▫️Dependencia de  servicio completa. ▫️Aires acondicionados en dormitorios y sala ▫️1 parqueo. 𝗖𝗼𝗻𝗱𝗶𝗰𝗶𝗼𝗻𝗲𝘀: ● 1 mes de alquiler ● 1 mes de garantía ● 1 comisión inmobiliaria ▫️ 𝗠𝗔𝗩𝗜𝗦 𝗥𝗜𝗩𝗘𝗥𝗢 ʙʀᴏᴋᴇʀ ᴏᴡɴᴇʀ - 𝗜𝗻𝗺𝗼 𝗕𝗿𝗼𝗸𝗲𝗿𝘀 ᴀsᴇsᴏʀᴀ ɪɴᴍᴏʙɪʟɪᴀʀɪᴀ 𝟩𝟪𝟧 𝟨𝟧𝟢𝟢𝟢 ᴡʜᴀᴛsᴀᴘᴘ: bit.ly/CCps-alq-2y5k-MN-IMBK #𝖢𝗈𝗇𝖿𝗂𝖺𝖤𝗇𝖬𝗂𝖤𝗑𝗉𝖾𝗋𝗂𝖾𝗇𝖼𝗂𝖺𝖨𝗇𝗆𝗈𝖻𝗂𝗅𝗂𝖺𝗋𝗂𝖺 @mavisrivero.inmo Afiliada a CAINCRUZ",https://www.ultracasas.com/inmueble/departamento-en-alquiler-entre-3er-y-4to-santa-cruz-de-la-sierra-1053122
Avenida Alemana entre 8vo y 9no anillo,"Entre 8vo y 9no anillo Norte, Santa Cruz de la Sierra - Casa en Venta","Bs. 910,000",4.0,3.0,160.0,-17.722065,-63.143147,Disponible,"🔑𝘾𝘼𝙎𝘼𝙎 𝙀𝙉 𝙑𝙀𝙉𝙏𝘼!!!  𝙕𝙊𝙉𝘼 𝙉𝙊𝙍𝙏𝙀 𝙔 𝙏𝙄𝙋𝙊 𝘿𝙀 𝘾𝘼𝙈𝘽𝙄𝙊 7.00😱📞 ￼⁨⁩ 🔺130.000$. *Zona norte 8vo/9no anillo entre Av. Beni y Av. Alemania🏠😱😍* ¡Casa frente a futuro parque municipal y a pocos pasos de área de equipamiento municipal😱! *Zona de alta plusvalía* Terreno 170,64 m2 (6m de frente x 28.42 de largo) Construcción 160.00m2 *Planta baja* ✅Estacionamiento para 2 vehículos ✅Reja metálica de 2 tramos ✅Elegante doble altura en hall de entrada + lámpara colgante led ✅Amplió Living-Comedor ✅Estudio o Dormitorio ✅Cocina America amoblada+ desayunador + elegantes lámparas ✅baño de visita Con box ducha completo ✅Amplió patio ✅Galería con churrasquera ✅Área de servicio *Instalaciones* Calefón Gas domiciliario *Planta Alta* ✅2 Dormitorios + armarios amoblado ✅Baño compartido ✅Suite con  Baño privado + vestidor amoblado ✅amplio balcón en Suite",https://www.ultracasas.com/inmueble/casa-en-venta-entre-8vo-y-9no-anillo-norte-santa-cruz-de-la-sierra-1051922
Zona Norte,"Carretera Norte, Santa Cruz de la Sierra - Casa en Venta","$us. 135,000",3.0,2.0,110.0,-17.695908,-63.130333,Disponible,"🟡 𝗖𝗮𝘀𝗮 𝗱𝗲 𝘂𝗻𝗮 𝗽𝗹𝗮𝗻𝘁𝗮 🅴🅽 🆅🅴🅽🆃🅰 ▫️ 💲 𝟭𝟯𝟱,𝟬𝟬𝟬 ▫️ ▪️ Terreno: 231 m² ▪️ Constr.:  110 m² ➖️ 3 ᴅᴏʀᴍ+2 ʙᴀɴ̃ᴏꜱ 📍𝙉𝙊𝙍𝙏𝙀: 𝘼𝙫. 𝙂𝟳𝟳 𝙮 𝘼𝙫. 𝙄𝙣𝙩𝙚𝙧𝙣𝙖𝙘𝙞𝙤𝙣𝙖𝙡, 𝘾𝙤𝙣𝙙𝙤𝙢𝙞𝙣𝙞𝙤 𝙇𝙖 𝙁𝙤𝙣𝙩𝙖𝙣𝙖 𝙍𝙞𝙫𝙞𝙚𝙧𝙖 𝟭. 𝘾𝘼𝙍𝘼𝘾𝙏𝙀𝙍𝙄𝙎𝙏𝙄𝘾𝘼𝙎: ▫️Hall de Ingreso ▫️ Comodo Living Comedor ▫️ Cocina Semi Abierta con Muebles Inf/Sup. ▫️ Suite con Closet y baño privado. ▫️ 2 Dormitorios con Closets empotrados ▫️ Baño a Compartir ▫️ Galería Amplia ▫️ Area de Lavanderia techada. ▫️ Amplio jardin ▫️ Parqueo para  2 Vehículos. 🟡 ʟᴀ ᴄᴀꜱᴀ ᴄᴜᴇɴᴛᴀ ᴄᴏɴ ᴀ/ᴀ ʏ ᴄᴏʀᴛɪɴᴀꜱ ᴇɴ ᴛᴏᴅᴏꜱ ʟᴏꜱ ᴀᴍʙɪᴇɴᴛᴇꜱ, ᴄᴀʟᴇꜰᴏ́ɴ, Aires Acondicionados 🌴🏊‍♂️ 𝘼𝙍𝙀𝘼𝙎 𝘾𝙊𝙈𝙐𝙉𝙀𝙎: El condominio es uno de los más completos de Santa Cruz. - Cine para uso de Propietarios - Supermercado Fidalga - 1 Piscina con Juegos de agua para los niños y espacio para adultos. - 1 Piscina para adultos y niños. - 2 Parques para niños - 2 Amplios Salones con Churrasqueras - 3 Churrasqueras Cubiertas para hasta 50 personas cada una, - 1 Cancha de Tenis - 1 Cancha de Baloncesto - 2 Canchas de Futbol - Sauna Seco y Vapor (EN AMPLIACION) - Gimnasio de 2 niveles, completo - Meeting - 2 Buses para Uso para propietarios con 8 salidas al día cada uno. Sin costo para propietarios al día con sus expensas. - Ingreso controlado con Tacs Inteligentes y QR. * Expensas: 450 Bs. ▫️ 𝗠𝗔𝗩𝗜𝗦 𝗥𝗜𝗩𝗘𝗥𝗢 ʙʀᴏᴋᴇʀ ᴏᴡɴᴇʀ - 𝗜𝗻𝗺𝗼 𝗕𝗿𝗼𝗸𝗲𝗿𝘀 ᴀsᴇsᴏʀᴀ ɪɴᴍᴏʙɪʟɪᴀʀɪᴀ 𝟩𝟪𝟧 𝟨𝟧𝟢𝟢𝟢 ᴡʜᴀᴛsᴀᴘᴘ: #𝖢𝗈𝗇𝖿𝗂𝖺𝖤𝗇𝖬𝗂𝖤𝗑𝗉𝖾𝗋𝗂𝖾𝗇𝖼𝗂𝖺𝖨𝗇𝗆𝗈𝖻𝗂𝗅𝗂𝖺𝗋𝗂𝖺 @mavisrivero.inmo Afiliada a CAINCRUZ",https://www.ultracasas.com/inmueble/casa-en-venta-carretera-norte-zona-norte-santa-cruz-de-la-sierra-1050396
ZONA CENTRO SUR Condominio Zafiro Calle Potosí esq. Saavedra,"Centro, Santa Cruz de la Sierra - Departamento en Alquiler","Bs. 3,800",2.0,2.0,60.0,-17.79001,-63.176167,Disponible,"🟡 𝗗𝗲𝗽𝗮𝗿𝘁𝗮𝗺𝗲𝗻𝘁𝗼 𝗔𝗠𝗢𝗕𝗟𝗔𝗗𝗢! 🅴🅽 🅰🅻🆀🆄🅸🅻🅴🆁 ▫️ 𝗕𝘀.  𝟯,𝟴𝟬𝟬 (ᴄ/ᴇxᴘ) ▫️ ▪️Sup. Dpto.: 60 m² ▪️Piso : 9 ➖️ 📍𝗭𝗢𝗡𝗔: 𝗦𝘂𝗿 c/Potosí, esq. Saavedra. ""Tᴏʀʀᴇ Zᴀғɪʀᴏ"" 𝗗𝗲𝘀𝗰𝗿𝗶𝗽𝗰𝗶𝗼́𝗻: ▫️Living Comedor ▫️Cocina amoblada y equipada ▫️2 dormitorios (1 en Suite) c/baño privado ▫️1 Baño a compartir ▫️Lavanderia ▫️Garage y  Baulera 𝗘𝗾𝘂𝗶𝗽𝗮𝗺𝗶𝗲𝗻𝘁𝗼: ▫️Muebles de cocina altos y bajos ▫️Aires Acondicionados ▫️Closet empotrados ▫️Muebles y box de baño ▫️Cortinas 𝑨́𝒓𝒆𝒂𝒔 𝑪𝒐𝒎𝒖𝒏𝒆𝒔: ▫️3 Ascensores ▫️Salón de  Eventos con 2 Baños Aʀᴇᴀs Sᴏᴄɪᴀʟᴇs ▫️Piscina para Niños y adultos ▫️Gimnasio ▫️Churrasquería ▫️Sauna ▫️Salón de eventos 𝗖𝗢𝗡𝗗𝗜𝗖𝗜𝗢𝗡𝗘𝗦: - 01 Mes adelantado - 01 Mes garantía - Comisión inmobiliaria - 𝗥𝗲𝘀𝗽𝗮𝗹𝗱𝗼𝘀  : ( Rejab, antecedentes, Referencias, personales y económicas) ▫️ 𝗠𝗔𝗩𝗜𝗦 𝗥𝗜𝗩𝗘𝗥𝗢 ᴀsᴇsᴏʀᴀ ɪɴᴍᴏʙɪʟɪᴀʀɪᴀ 𝗜𝗻𝗺𝗼 𝗕𝗿𝗼𝗸𝗲𝗿𝘀 𝟩𝟪𝟧 𝟨𝟧𝟢𝟢𝟢 ᴡʜᴀᴛsᴀᴘᴘ: bit.ly/CZf-alq-3y8kBs-YP-IMBK #𝖢𝗈𝗇𝖿𝗂𝖺𝖤𝗇𝖬𝗂𝖤𝗑𝗉𝖾𝗋𝗂𝖾𝗇𝖼𝗂𝖺𝖨𝗇𝗆𝗈𝖻𝗂𝗅𝗂𝖺𝗋𝗂𝖺 @mavisrivero.inmo Afiliada a CAINCRUZ",https://www.ultracasas.com/inmueble/departamento-en-alquiler-centro-zona-centro-santa-cruz-de-la-sierra-1052353
LUXE SUITES Monoambiente en venta AMOBLADO,"Equipetrol, Santa Cruz de la Sierra - Departamento en Venta","$us. 59,000",1.0,1.0,38.0,-17.76539,-63.194401,Disponible,"MONOAMBIENTE AMOBLADO EN VENTA A ESTRENAR 🏢 Edificio LUXE Suites – Equipetrol A solo 100m de la Av. San Martin, casi 3er anillo ✨ Monoambiente con balcon a la Calle ✨ Full Equipado | Piso 5 Sup.: 37.8m2 💵 Precio: Bs.-725.000 Se escuchan propuestas 🔹 Características: * 🏖 Balcón con excelente vista * 🚻 Baño completo, box, cajonería, espejo touch led * 🛏 Habitación con ropero empotrado, y mueble de tv, aire acondicionado * 🍴 Cocina americana equipada con cajonería alta y baja, encimera, campana * Area de Servicio con Termotanque instalado IDEAL PARA INVERSION | ALQUILER | AIRBN | VIVIR CON ESTILO UNICO 🌟 Áreas Sociales de primer nivel: * 🏊 Piscina infinita * 🏋 Gimnasio equipado * ♨ Sauna * 🍖 Churrasquera * 🎉 Salones de eventos * 🎮 Sala de juegos y TV * 🌇 Terrazas sociales 📍 Ubicación estratégica en la zona más exclusiva de Santa Cruz, rodeada de negocios, restaurantes y vida urbana de primer nivel.",https://www.ultracasas.com/inmueble/departamento-en-venta-equipetrol-luxe-santa-cruz-de-la-sierra-1053984
Jardines del urubo,"Urubó, Santa Cruz de la Sierra - Casa en Venta","Bs. 10,500,000",5.0,6.0,1080.0,-17.760071,-63.222233,Disponible,"🔹 CASA DE LUJO EN VENTA – Condominio Jardines del Urubó 1 🔹 📍 Ubicación privilegiada | Zona Urubó Descubra una residencia exclusiva que combina diseño, confort y privacidad en uno de los condominios más prestigiosos de la ciudad. 📐 Detalles de la propiedad: •⁠  ⁠Terreno: 2.307 m² •⁠  ⁠Construcción: 1.080 m² ✨ Ambientes amplios y elegantes: 🛏️ 5 suites en planta alta 🛏️ 1 suite en planta baja con ingreso independiente 🛏️ 1 suite de visitas con acceso privado 🎲 Sala de juegos para niños 🛋️ 2 salas de estar/comedor (principal y de diario) 🍽️ Cocina amplia con mesones de granito 🍖 Galerías con churrasquera 🏊 Piscina privada 🧖 Espacio para sauna y gimnasio 🚪 Accesos independientes por dos calles 💰 Precio: Bs. 10.500.000 Viva con estilo. Viva con distinción. Agende su visita privada hoy mismo.",https://www.ultracasas.com/inmueble/casa-en-venta-urubo-jardines-del-urubo-santa-cruz-de-la-sierra-1052484
Avenida Alemana Entre 2do y 3er anillo,"Entre 2do y 3er anillo Norte, Santa Cruz de la Sierra - Casa en Alquiler","Bs. 8,500",3.0,3.0,180.0,-17.765999,-63.169235,Disponible,"🟡 𝗖𝗔𝗦𝗔 𝗜𝗡𝗗𝗘𝗣𝗘𝗡𝗗𝗜𝗘𝗡𝗧𝗘 - 𝗨𝗯𝗶𝗰𝗮𝗰𝗶𝗼́𝗻 𝗘𝘀𝘁𝗿𝗮𝘁𝗲𝗴𝗶𝗰𝗮 🅴🅽 🅰🅻🆀🆄🅸🅻🅴🆁 ▫️ 𝗕𝘀. 𝟴,𝟱𝟬𝟬 ▫️ ▪️ Terreno: 300  m² ▪️ Const.:   180 m² ➖️ 📍 Zᴏɴᴀ Nᴏʀᴛᴇ - Aᴠ. Aʟᴇᴍᴀɴᴀ 2do y 3er anillo Pʟᴀɴᴛᴀ Bᴀᴊᴀ ▫️Living Comedor ▫️Cocina Amoblada ▫️Baño visitas ▫️Patio ▫️Areas de Servicio. ▫️Garaje  p/2 vehículos Pʟᴀɴᴛᴀ Aʟᴛᴀ ▫️1 Master Suite c/vestidor, baño privado ▫️2 Dormitorios c/closet ▫️Baño a compartir 𝙀𝙌𝙐𝙄𝙋𝘼𝙈𝙄𝙀𝙉𝙏𝙊: ▫️Muebles de Cocina ▫️Muebles  de baño ▫️Muebles de closets y vestidor ▫️Calefón ▫️Cortinas 𝗖𝗢𝗡𝗗𝗜𝗖𝗜𝗢𝗡𝗘𝗦: ▪️1 Mes Adelantado ▪️1 Mes de Garantía ▪️Comisión Inmobiliaria ▪️𝗥𝗲𝘀𝗽𝗮𝗹𝗱𝗼𝘀 𝘆 𝗦𝗼𝗹𝘃𝗲𝗻𝗰𝗶𝗮 ▫️ 𝗠𝗔𝗩𝗜𝗦 𝗥𝗜𝗩𝗘𝗥𝗢 ᴀsᴇsᴏʀᴀ ɪɴᴍᴏʙɪʟɪᴀʀɪᴀ 𝗜𝗻𝗺𝗼 𝗕𝗿𝗼𝗸𝗲𝗿𝘀 𝟩𝟪𝟧 𝟨𝟧𝟢𝟢𝟢 ᴡʜᴀᴛsᴀᴘᴘ: bit.ly/AvAl-alq-8y5Bs-YP-IMBK #𝖢𝗈𝗇𝖿𝗂𝖺𝖤𝗇𝖬𝗂𝖤𝗑𝗉𝖾𝗋𝗂𝖾𝗇𝖼𝗂𝖺𝖨𝗇𝗆𝗈𝖻𝗂𝗅𝗂𝖺𝗋𝗂𝖺 @mavisrivero.inmo Afiliada a CAINCRUZ",https://www.ultracasas.com/inmueble/casa-en-alquiler-entre-2do-y-3er-anillo-santa-cruz-de-la-sierra-1051857
5 Hectáreas sobre Carretera Doble Vía a Cotoca,"Carretera Cotoca, Santa Cruz de la Sierra - Terreno en Venta","$us. 3,600,000",,,50000.0,-17.765306,-63.073269,Disponible,"UBICACIÓN TERRENO Se encuentra en una de las zonas con mayor plusvalía de la ciudad de Santa Cruz de la Sierra: sobre la Doble Vía a Cotoca cerca de la tranca a Cotoca. Esta en una carretera con un desarrollo impresionante en los últimos dos años y está rodeado de empresas, a 5 minutos de condominios, cadena de supermercado, farmacia, restaurantes, universidad, a aproximadamente 10 minutos del 4to anillo y Av. Virgen de Cotoca y a aproximadamente 10 minutos de Cotoca. CARACTERÍSTICAS DEL TERRENO Y SUS EDIFICACIONES Terreno de 5 hectáreas con un gran frente sobre la carretera doble vía a Cotoca. Cuenta con 3 edificaciones importantes, haciendo un total de aproximadamente 1.200 m2 de construcción. Este terreno, con proyección a una plusvalía importante, es ideal para empresas, condominios, cementerios, confinamiento de ganado, etc. debido al amplio espacio con el que cuenta y su ubicación. Edificación 1 es de 2 plantas que cuenta con: Sala de Recepción. 6 amplios salones principales que también pueden ser utilizados para oficinas de personal. 8 amplias oficinas gerenciales o de personal (podrían ingresar aproximadamente 8 personas en cada una de estas oficinas). 2 despensas. 4 cocinetas o área de cafetería para el personal. 8 sectores de baños para el personal (4 para varones y 4 para mujeres). 2 aires acondicionados de 36 BTU, 7 aires acondicionados de  24 BTU. Todos los aires acondicionados son de la marca White Westinghouse. Entre la edificación 1 y edificación 2 se tiene un área social con Churrasquera. Edificación 2 cuenta con: Galpón. 1 Depósito. 1 Cocina. Comedor. Baño de varones y mujeres. Duchas para el personal. 1 espacio para mantenimiento de camiones / vehículos. 1 Rampa para mantenimiento/lavado de camiones / vehículos. 1 Mezanine. Edificación 3 es un amplio Galpón. La mayor parte del terreno se encuentra sin desarrollar. Contáctanos y agenda tu visita al 721-47488 www.feeneybienesraices.com",https://www.ultracasas.com/inmueble/terreno-en-venta-carretera-cotoca-5-santa-cruz-de-la-sierra-972400
,,,,,,,,Disponible,,
ZONA NORTE CASA EN ALQUILER CONDOMINIO SEVILLA LOS JARDINES 3 DORMITORIOS,"Carretera Norte, Santa Cruz de la Sierra - Casa en Alquiler",$us. 650,2.0,2.0,180.0,-17.687233,-63.150787,Disponible,"📌CONDOMINIO SEVILLA LOS JARDINES CASA EN ALQUILER - Living - Comedor - Cocina - Galeria y Jardin - 1 Suite - 2 Dormitorios - 1 Baño Compartido - Lavandería - Garage - Área social piscina, - churraquera $us 650 Incluidas las expensas 📲",https://www.ultracasas.com/inmueble/casa-en-alquiler-carretera-norte-zona-norte-santa-cruz-de-la-sierra-1053933
Zona Oeste 3er y 4to Anillo Av. PIRAÍ (Barrio Las Palmas),"Entre 3er y 4to anillo Oeste, Santa Cruz de la Sierra - Casa en Venta","$us. 270,000",4.0,4.0,420.0,-17.797323,-63.212589,Disponible,"𝗖𝗮𝘀𝗮 𝗜𝗻𝗱𝗲𝗽𝗲𝗻𝗱𝗶𝗲𝗻𝘁𝗲 🅴🅽 🆅🅴🅽🆃🅰 ▫️ 💲 𝟮𝟳𝟬,𝟬𝟬𝟬 ▫️ ▪️Terreno: 420 m² ▪️Const.:   240 m² ➖️ 📍Zᴏɴᴀ Oᴇsᴛᴇ ᴇɴᴛʀᴇ 3ᴇʀ ʏ 4ᴛᴏ ᴀɴɪʟʟᴏ ᴀᴠ. Pɪʀᴀɪ PLANTA BAJA ▫️Amplio Living Comedor ▫️Linda Cocina equipada c/  muebles altos  y bajos ▫️Churrasquera con galerias ▫️Piscina con juego Luces ▫️1 Espectacular Suite C/ Vestidor,  baño con Box c/ salida directa a la piscina ▫️2 Dormitorios con roperos empotrados ▫️Baño a Compartir ▫️1 Dormitorio en mesanine ▫️ (4 dormitorios en total) ▫️Sala de Television ▫️Deposito/Despensa ▫️Dependencia de servicio C/ Baño ▫️Baño / Ducha para la Piscina y Areas Sociales ▫️Garaje P/ 3 Vehiculos ▫️La casa esta equipada con Aires Acondicionados,  bellas Lamparas y cortinas, piso de porcelanato, cerca electrica ▫️ 𝗠𝗔𝗩𝗜𝗦 𝗥𝗜𝗩𝗘𝗥𝗢 ᴀsᴇsᴏʀᴀ ɪɴᴍᴏʙɪʟɪᴀʀɪᴀ 𝗜𝗻𝗺𝗼 𝗕𝗿𝗼𝗸𝗲𝗿𝘀 𝟩𝟪𝟧 𝟨𝟧𝟢𝟢𝟢 ᴡʜᴀᴛsᴀᴘᴘ: bit.ly/mavisrivero-inmo-Wtp #𝖢𝗈𝗇𝖿𝗂𝖺𝖤𝗇𝖬𝗂𝖤𝗑𝗉𝖾𝗋𝗂𝖾𝗇𝖼𝗂𝖺𝖨𝗇𝗆𝗈𝖻𝗂𝗅𝗂𝖺𝗋𝗂𝖺 @mavisrivero.inmo Afiliada a CAINCRUZ",https://www.ultracasas.com/inmueble/casa-en-venta-entre-3er-y-4to-anillo-oeste-santa-cruz-de-la-sierra-1019992
En Venta: 2.250 Hectáreas Agricola - Ganaderas en Tuna sobre Carretera,"Zona Nueva Santa Cruz, Santa Cruz de la Sierra - Quinta propiedad agrícola en Venta","$us. 5,625,000",,,0.0,-17.596586,-61.918282,Disponible,"Esta propiedad desarrollada para agricultura (en su mayoría) y ganadería se encuentra en la localidad de Tuna. La propiedad cuenta con Título Ejecutorial. CARACTERÍSTICAS DE LA PROPIEDAD: 	Título Ejecutorial 	POP 	Superficie Total: 2.250 hectáreas o	230 hectáreas de pasto cultivado (Zuri y Aruana) o	1.595 hectáreas agrícolas 	Actualmente se tiene sembrado Sorgo, Algodón, Trigo y Frejol mongo. 	Corral en desuso, solo se podría rescatar el brete techado, cepo, cargador. 	Casa para propietarios 	2 Casas para trabajadores con 7 cuartos 	Tinglado para maquinaria 	Tanque elevado para agua con capacidad de 38.000 Lts 	Tanque elevado para diésel con capacidad para 40.000 Lts. 	Pista de aterrizaje de 1.3 Kms para avionetas de fumigación 	Casi todos los tablones cuentan con canaletas y desagües en caso de lluvias fuertes. 	Caminos internos en excelente estado 	La parte agrícola se alquila actualmente en $us 150 x hectárea y el nuevo comprador puede continuar alquilándola en caso así lo desee.",https://www.ultracasas.com/inmueble/quinta-propiedad-agricola-en-venta-zona-santa-cruz-de-la-sierra-1026119
TC 7 Terreno en venta Av. Alemana casi 4to. anillo,"Entre 3er y 4to anillo Norte, Santa Cruz de la Sierra - Terreno en Venta","$us. 115,000",,,248.0,-17.755692,-63.158081,Disponible,"🏞️ TERRENO ZONA NORTE 📍 Av. Alemana y Av. Mutualista, a pocos metros del 4to anillo. (Sobre calle colectora) 💰 PRECIO DE VENTA: 115.000 $us. (TIPO DE CAMBIO 7) ☑️ 𝐒𝐮𝐩𝐞𝐫𝐟𝐢𝐜𝐢𝐞: 248,50 𝐦𝟐. ☑️ 𝐈𝐝𝐞𝐚𝐥 𝐩𝐚𝐫𝐚 𝐝𝐞𝐬𝐚𝐫𝐫𝐨𝐥𝐥𝐨 𝐢𝐧𝐦𝐨𝐛𝐢𝐥𝐢𝐚𝐫𝐢𝐨 ☑️ Frente 10 m. ☑️ Fondo: 24,85 m. ☑️ A pocos metros de la Av. 📲CONTACTAME, para mayor información  Century 21 - Andrea Kanda #terrenoseconomicos #TerrenosenSantaCruz #Century21elite #bienesraices #terrenosenventazonanorte #CasaEnVentaZonaNorte",https://www.ultracasas.com/inmueble/terreno-en-venta-entre-3er-y-4to-anillo-santa-cruz-de-la-sierra-1052481
